City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
48,kodiak,57.79,-152.4072,267.88,93,0,3.09,US,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=24, tm_wday=1, tm_yday=35, tm_isdst=0)"
49,taltal,-25.4078,-70.4858,295.27,67,13,2.8,CL,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=25, tm_wday=1, tm_yday=35, tm_isdst=0)"
50,nsanje,-16.9232,35.2619,296.98,94,86,1.84,MW,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=27, tm_wday=1, tm_yday=35, tm_isdst=0)"
51,hawaiian paradise park,19.585,-154.9731,292.47,77,0,3.09,US,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=28, tm_wday=1, tm_yday=35, tm_isdst=0)"
52,ugoofaaru,19.585,-154.9731,292.47,77,0,3.09,US,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=28, tm_wday=1, tm_yday=35, tm_isdst=0)"
53,sandnessjoen,66.0215,12.6317,276.21,87,75,3.09,NO,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=31, tm_wday=1, tm_yday=35, tm_isdst=0)"
54,kannapolis,35.4875,-80.6214,296.51,44,0,4.12,US,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=32, tm_wday=1, tm_yday=35, tm_isdst=0)"
55,sabang,5.8927,95.3226,300.87,71,91,7.34,ID,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=34, tm_wday=1, tm_yday=35, tm_isdst=0)"
56,bilibino,68.055,166.4449,228.36,100,98,1.01,RU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=35, tm_wday=1, tm_yday=35, tm_isdst=0)"
57,puerto natales,-51.7262,-72.506,287.47,44,75,10.8,CL,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=36, tm_wday=1, tm_yday=35, tm_isdst=0)"
58,north battleford,52.7762,-108.3005,248.33,77,100,1.03,CA,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=38, tm_wday=1, tm_yday=35, tm_isdst=0)"
59,heunghae,36.1126,129.354,266.58,59,1,7.08,KR,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=39, tm_wday=1, tm_yday=35, tm_isdst=0)"
60,igarka,67.4566,86.5308,252.99,84,99,5.08,RU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=40, tm_wday=1, tm_yday=35, tm_isdst=0)"
61,dudinka,69.4061,86.1751,245.83,93,94,1.46,RU,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=42, tm_wday=1, tm_yday=35, tm_isdst=0)"
62,weno,7.4401,151.857,295.62,94,75,2.57,FM,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=17, tm_min=49, tm_sec=43, tm_wday=1, tm_yday=35, tm_isdst=0)"
